,movieId,title
221,224,Don Juan DeMarco (1995)
222,225,Disclosure (1994)
223,226,Dream Man (1995)
224,227,Drop Zone (1994)
225,228,Destiny Turns on the Radio (1995)
226,229,Death and the Maiden (1994)
227,230,Dolores Claiborne (1995)
228,231,Dumb & Dumber (1994)
229,232,Eat Drink Man Woman (Yin shi nan nu) (1994)
230,233,Exotica (1994)
231,234,Exit to Eden (1994)
232,235,Ed Wood (1994)
233,236,French Kiss (1995)
234,237,Forget Paris (1995)
235,238,Far From Home: The Adventures of Yellow Dog (1995)
236,239,"Goofy Movie, A (1995)"
237,240,Hideaway (1995)
238,241,Fluke (1995)
239,242,Farinelli: il castrato (1994)
240,243,Gordy (1995)
241,244,Gumby: The Movie (1995)
242,245,"Glass Shield, The (1994)"
243,246,Hoop Dreams (1994)
244,247,Heavenly Creatures (1994)
245,248,Houseguest (1994)
246,249,Immortal Beloved (1994)
247,250,Heavyweights (a.k.a. Heavy Weights) (1995)
248,251,"Hunted, The (1995)"
249,252,I.Q. (1994)
250,253,Interview with the Vampire: The Vampire Chronicles (1994)
251,254,Jefferson in Paris (1995)
252,255,"Jerky Boys, The (1994)"
253,256,Junior (1994)
254,257,Just Cause (1995)
255,258,"Kid in King Arthur's Court, A (1995)"
256,259,Kiss of Death (1995)
257,260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977)
258,261,Little Women (1994)
259,262,"Little Princess, A (1995)"
260,263,Ladybird Ladybird (1994)
261,264,"Enfer, L' (1994)"
262,265,Like Water for Chocolate (Como agua para chocolate) (1992)
263,266,Legends of the Fall (1994)
264,267,Major Payne (1995)
265,268,Little Odessa (1994)
266,269,My Crazy Life (Mi vida loca) (1993)
267,270,Love Affair (1994)
268,271,Losing Isaiah (1995)
269,272,"Madness of King George, The (1994)"
270,273,Frankenstein (Mary Shelley's Frankenstein) (1994)
271,274,Man of the House (1995)
272,275,Mixed Nuts (1994)
273,276,Milk Money (1994)
274,277,Miracle on 34th Street (1994)
275,278,Miami Rhapsody (1995)
276,279,My Family (1995)
277,280,Murder in the First (1995)
278,281,Nobody's Fool (1994)
279,282,Nell (1994)
280,283,New Jersey Drive (1995)
281,284,New York Cop (Nyû Yôku no koppu) (1993)
282,285,Beyond Bedlam (1993)
283,286,Nemesis 2: Nebula (1995)
284,287,Nina Takes a Lover (1994)
285,288,Natural Born Killers (1994)
286,289,Only You (1994)
287,290,Once Were Warriors (1994)
288,291,Poison Ivy II (1996)
289,292,Outbreak (1995)
290,293,"Léon: The Professional (Léon) (Professional, The) (1994)"
291,294,"Perez Family, The (1995)"
292,295,"Pyromaniac's Love Story, A (1995)"
293,296,Pulp Fiction (1994)
294,297,Panther (1995)
295,298,Pushing Hands (Tui shou) (1992)
296,299,Priest (1994)
297,300,Quiz Show (1994)
298,301,Picture Bride (Bijo photo) (1994)
299,302,Queen Margot (La Reine Margot) (1994)
300,303,"Quick and the Dead, The (1995)"
301,304,Roommates (1995)
302,305,Ready to Wear (Pret-A-Porter) (1994)
303,306,Three Colors: Red (Trois couleurs: Rouge) (1994)
304,307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
305,308,Three Colors: White (Trois couleurs: Blanc) (1994)
306,309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
307,310,Rent-a-Kid (1995)
308,311,Relative Fear (1994)
309,312,Stuart Saves His Family (1995)
310,313,"Swan Princess, The (1994)"
311,314,"Secret of Roan Inish, The (1994)"
312,315,"Specialist, The (1994)"
313,316,Stargate (1994)
314,317,"Santa Clause, The (1994)"
315,318,"Shawshank Redemption, The (1994)"
316,319,Shallow Grave (1994)
317,320,Suture (1993)
318,321,Strawberry and Chocolate (Fresa y chocolate) (1993)
319,322,Swimming with Sharks (1995)
320,324,"Sum of Us, The (1994)"
321,325,National Lampoon's Senior Trip (1995)
322,326,To Live (Huozhe) (1994)
323,327,Tank Girl (1995)
324,328,Tales from the Crypt Presents: Demon Knight (1995)
325,329,Star Trek: Generations (1994)
326,330,Tales from the Hood (1995)
327,331,Tom & Viv (1994)
328,332,Village of the Damned (1995)
329,333,Tommy Boy (1995)
330,334,Vanya on 42nd Street (1994)
331,335,Underneath (1995)
332,336,"Walking Dead, The (1995)"
333,337,What's Eating Gilbert Grape (1993)
334,338,Virtuosity (1995)
335,339,While You Were Sleeping (1995)
336,340,"War, The (1994)"
337,341,Double Happiness (1994)
338,342,Muriel's Wedding (1994)
339,343,"Baby-Sitters Club, The (1995)"
340,344,Ace Ventura: Pet Detective (1994)
341,345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
342,346,Backbeat (1993)
343,347,Bitter Moon (1992)
344,348,Bullets Over Broadway (1994)
345,349,Clear and Present Danger (1994)
346,350,"Client, The (1994)"
347,351,"Corrina, Corrina (1994)"
348,352,Crooklyn (1994)
349,353,"Crow, The (1994)"
350,354,Cobb (1994)
351,355,"Flintstones, The (1994)"
352,356,Forrest Gump (1994)
353,357,Four Weddings and a Funeral (1994)
354,358,Higher Learning (1995)
355,359,I Like It Like That (1994)
356,360,I Love Trouble (1994)
357,361,It Could Happen to You (1994)
358,362,"Jungle Book, The (1994)"
359,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
360,364,"Lion King, The (1994)"
361,365,Little Buddha (1993)
362,366,Wes Craven's New Nightmare (1994)
363,367,"Mask, The (1994)"
364,368,Maverick (1994)
365,369,Mrs. Parker and the Vicious Circle (1994)
366,370,Naked Gun 33 1/3: The Final Insult (1994)
367,371,"Paper, The (1994)"
368,372,Reality Bites (1994)
369,373,Red Rock West (1992)
370,374,Richie Rich (1994)
371,375,Safe Passage (1994)
372,376,"River Wild, The (1994)"
373,377,Speed (1994)
374,378,Speechless (1994)
375,379,Timecop (1994)
376,380,True Lies (1994)
377,381,When a Man Loves a Woman (1994)
378,382,Wolf (1994)
379,383,Wyatt Earp (1994)
380,384,Bad Company (1995)
381,385,"Man of No Importance, A (1994)"
382,386,S.F.W. (1994)
383,387,"Low Down Dirty Shame, A (1994)"
384,388,Boys Life (1995)
385,389,"Colonel Chabert, Le (1994)"
386,390,Faster Pussycat! Kill! Kill! (1965)
387,391,Jason's Lyric (1994)
388,392,"Secret Adventures of Tom Thumb, The (1993)"
389,393,Street Fighter (1994)
390,394,Coldblooded (1995)
391,395,Desert Winds (1995)
392,396,Fall Time (1995)
393,397,"Fear, The (1995)"
394,398,Frank and Ollie (1995)
395,399,Girl in the Cadillac (1995)
396,400,Homage (1995)
397,401,Mirage (1995)
398,402,Open Season (1996)
399,403,Two Crimes (Dos crímenes) (1995)
400,404,Brother Minister: The Assassination of Malcolm X (1994)
401,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
402,406,Federal Hill (1994)
403,407,In the Mouth of Madness (1995)
404,408,8 Seconds (1994)
405,409,Above the Rim (1994)
406,410,Addams Family Values (1993)
407,411,You So Crazy (1994)
408,412,"Age of Innocence, The (1993)"
409,413,Airheads (1994)
410,414,"Air Up There, The (1994)"
411,415,Another Stakeout (1993)
412,416,Bad Girls (1994)
413,417,Barcelona (1994)
414,418,Being Human (1993)
415,419,"Beverly Hillbillies, The (1993)"
416,420,Beverly Hills Cop III (1994)
417,421,Black Beauty (1994)
418,422,Blink (1994)
419,423,Blown Away (1994)
420,424,Blue Chips (1994)
421,425,Blue Sky (1994)
422,426,Body Snatchers (1993)
423,427,Boxing Helena (1993)
424,428,"Bronx Tale, A (1993)"
425,429,Cabin Boy (1994)
426,430,Calendar Girl (1993)
427,431,Carlito's Way (1993)
428,432,City Slickers II: The Legend of Curly's Gold (1994)
429,433,Clean Slate (1994)
430,434,Cliffhanger (1993)
431,435,Coneheads (1993)
432,436,Color of Night (1994)
433,437,Cops and Robbersons (1994)
434,438,"Cowboy Way, The (1994)"
435,439,Dangerous Game (1993)
436,440,Dave (1993)
437,441,Dazed and Confused (1993)
438,442,Demolition Man (1993)
439,443,"Endless Summer 2, The (1994)"
440,444,Even Cowgirls Get the Blues (1993)
441,445,Fatal Instinct (1993)
442,446,Farewell My Concubine (Ba wang bie ji) (1993)
443,447,"Favor, The (1994)"
444,448,Fearless (1993)
445,449,Fear of a Black Hat (1994)
446,450,With Honors (1994)
447,451,Flesh and Bone (1993)
448,452,Widows' Peak (1994)
449,453,For Love or Money (1993)
450,454,"Firm, The (1993)"
451,455,Free Willy (1993)
452,456,Fresh (1994)
453,457,"Fugitive, The (1993)"
454,458,Geronimo: An American Legend (1993)
455,459,"Getaway, The (1994)"
456,460,Getting Even with Dad (1994)
457,461,Go Fish (1994)
458,462,"Good Man in Africa, A (1994)"
459,463,Guilty as Sin (1993)
460,464,Hard Target (1993)
461,465,Heaven & Earth (1993)
462,466,Hot Shots! Part Deux (1993)
463,467,Live Nude Girls (1995)
464,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
465,469,"House of the Spirits, The (1993)"
466,470,House Party 3 (1994)
467,471,"Hudsucker Proxy, The (1994)"
468,472,I'll Do Anything (1994)
469,473,In the Army Now (1994)
470,474,In the Line of Fire (1993)
471,475,In the Name of the Father (1993)
472,476,"Inkwell, The (1994)"
473,477,What's Love Got to Do with It? (1993)
474,478,Jimmy Hollywood (1994)
475,479,Judgment Night (1993)
476,480,Jurassic Park (1993)
477,481,Kalifornia (1993)
478,482,Killing Zoe (1994)
479,483,King of the Hill (1993)
480,484,Lassie (1994)
481,485,Last Action Hero (1993)
482,486,Life with Mikey (1993)
483,487,Lightning Jack (1994)
484,488,M. Butterfly (1993)
485,489,Made in America (1993)
486,490,Malice (1993)
487,491,"Man Without a Face, The (1993)"
488,492,Manhattan Murder Mystery (1993)
489,493,Menace II Society (1993)
490,494,Executive Decision (1996)
491,495,In the Realm of the Senses (Ai no corrida) (1976)
492,496,What Happened Was... (1994)
493,497,Much Ado About Nothing (1993)
494,498,Mr. Jones (1993)
495,499,Mr. Wonderful (1993)
496,500,Mrs. Doubtfire (1993)
497,501,Naked (1993)
498,502,"Next Karate Kid, The (1994)"
499,503,"New Age, The (1994)"
500,504,No Escape (1994)
501,505,North (1994)
502,506,Orlando (1992)
503,507,"Perfect World, A (1993)"
504,508,Philadelphia (1993)
505,509,"Piano, The (1993)"
506,510,Poetic Justice (1993)
507,511,"Program, The (1993)"
508,512,"Puppet Masters, The (1994)"
509,513,Radioland Murders (1994)
510,514,"Ref, The (1994)"
511,515,"Remains of the Day, The (1993)"
512,516,Renaissance Man (1994)
513,517,Rising Sun (1993)
514,518,"Road to Wellville, The (1994)"
515,519,RoboCop 3 (1993)
516,520,Robin Hood: Men in Tights (1993)
517,521,Romeo Is Bleeding (1993)
518,522,Romper Stomper (1992)
519,523,Ruby in Paradise (1993)
520,524,Rudy (1993)
521,525,"Saint of Fort Washington, The (1993)"
522,526,"Savage Nights (Nuits fauves, Les) (1992)"
523,527,Schindler's List (1993)
524,528,"Scout, The (1994)"
525,529,Searching for Bobby Fischer (1993)
526,530,Second Best (1994)
527,531,"Secret Garden, The (1993)"
528,532,Serial Mom (1994)
529,533,"Shadow, The (1994)"
530,534,Shadowlands (1993)
531,535,Short Cuts (1993)
532,536,"Simple Twist of Fate, A (1994)"
533,537,Sirens (1994)
534,538,Six Degrees of Separation (1993)
535,539,Sleepless in Seattle (1993)
536,540,Sliver (1993)
537,541,Blade Runner (1982)
538,542,Son in Law (1993)
539,543,So I Married an Axe Murderer (1993)
540,544,Striking Distance (1993)
541,545,Harem (1985)
542,546,Super Mario Bros. (1993)
543,547,Surviving the Game (1994)
544,548,Terminal Velocity (1994)
545,549,Thirty-Two Short Films About Glenn Gould (1993)
546,550,Threesome (1994)
547,551,"Nightmare Before Christmas, The (1993)"
548,552,"Three Musketeers, The (1993)"
549,553,Tombstone (1993)
550,554,Trial by Jury (1994)
551,555,True Romance (1993)
552,556,"War Room, The (1993)"
553,558,"Pagemaster, The (1994)"
554,559,"Paris, France (1993)"
555,560,"Beans of Egypt, Maine, The (1994)"
556,561,Killer (a.k.a. Bulletproof Heart) (1994)
557,562,Welcome to the Dollhouse (1995)
558,563,Germinal (1993)
559,564,Chasers (1994)
560,565,Cronos (1993)
561,566,Naked in New York (1994)
562,567,Kika (1993)
563,568,Bhaji on the Beach (1993)
564,569,Little Big League (1994)
565,570,"Slingshot, The (Kådisbellan) (1993)"
566,571,"Wedding Gift, The (1994)"
567,572,Foreign Student (1994)
568,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
569,574,Spanking the Monkey (1994)
570,575,"Little Rascals, The (1994)"
571,576,Fausto (1993)
572,577,Andre (1994)
573,579,"Escort, The (Scorta, La) (1993)"
574,580,Princess Caraboo (1994)
575,581,"Celluloid Closet, The (1995)"
576,582,Métisse (Café au Lait) (1993)
577,583,Dear Diary (Caro Diario) (1994)
578,584,I Don't Want to Talk About It (De eso no se habla) (1993)
579,585,"Brady Bunch Movie, The (1995)"
580,586,Home Alone (1990)
581,587,Ghost (1990)
582,588,Aladdin (1992)
583,589,Terminator 2: Judgment Day (1991)
584,590,Dances with Wolves (1990)
585,591,Tough and Deadly (1995)
586,592,Batman (1989)
587,593,"Silence of the Lambs, The (1991)"
588,594,Snow White and the Seven Dwarfs (1937)
589,595,Beauty and the Beast (1991)
590,596,Pinocchio (1940)
591,597,Pretty Woman (1990)
592,598,Window to Paris (Okno v Parizh) (1994)
593,599,"Wild Bunch, The (1969)"
594,600,Love and a .45 (1994)
595,601,"Wooden Man's Bride, The (Yan shen) (1994)"
596,602,"Great Day in Harlem, A (1994)"
597,603,"Bye Bye, Love (1995)"
598,604,Criminals (1996)
599,605,One Fine Day (1996)
600,606,Candyman: Farewell to the Flesh (1995)
601,607,Century (1993)
602,608,Fargo (1996)
603,609,Homeward Bound II: Lost in San Francisco (1996)
604,610,Heavy Metal (1981)
605,611,Hellraiser: Bloodline (1996)
606,612,"Pallbearer, The (1996)"
607,613,Jane Eyre (1996)
608,614,Loaded (1994)
609,615,Bread and Chocolate (Pane e cioccolata) (1973)
610,616,"Aristocats, The (1970)"
611,617,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)"
612,618,Two Much (1995)
613,619,Ed (1996)
614,620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)
615,621,My Favorite Season (1993)
616,623,"Modern Affair, A (1995)"
617,624,Condition Red (1995)
618,625,Asfour Stah (1990)
619,626,"Thin Line Between Love and Hate, A (1996)"
620,627,"Last Supper, The (1995)"
621,628,Primal Fear (1996)
622,629,Rude (1995)
623,630,Carried Away (1996)
624,631,All Dogs Go to Heaven 2 (1996)
625,632,Land and Freedom (Tierra y libertad) (1995)
626,633,Denise Calls Up (1995)
627,634,Theodore Rex (1995)
628,635,"Family Thing, A (1996)"
629,636,Frisk (1995)
630,637,Sgt. Bilko (1996)
631,638,Jack and Sarah (1995)
632,639,Girl 6 (1996)
633,640,Diabolique (1996)
634,641,"Little Indian, Big City (Un indien dans la ville) (1994)"
635,642,Roula (1995)
636,643,Peanuts - Die Bank zahlt alles (1996)
637,644,Happy Weekend (1996)
638,645,Nelly & Monsieur Arnaud (1995)
639,647,Courage Under Fire (1996)
640,648,Mission: Impossible (1996)
641,649,Cold Fever (Á köldum klaka) (1995)
642,650,Moll Flanders (1996)
643,651,"Superweib, Das (1996)"
644,652,"301, 302 (a.k.a. 301/302) (1995)"
645,653,Dragonheart (1996)
646,654,Und keiner weint mir nach (1996)
647,655,My Mother's Courage (Mutters Courage) (1995)
648,656,Eddie (1996)
649,657,Yankee Zulu (1994)
650,658,Billy's Holiday (1995)
651,659,Purple Noon (Plein soleil) (1960)
652,660,August (1996)
653,661,James and the Giant Peach (1996)
654,662,Fear (1996)
655,663,Kids in the Hall: Brain Candy (1996)
656,664,Faithful (1996)
657,665,Underground (1995)
658,666,All Things Fair (Lust och fägring stor) (1995)
659,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
660,668,Pather Panchali (1955)
661,670,"World of Apu, The (Apur Sansar) (1959)"
662,671,Mystery Science Theater 3000: The Movie (1996)
663,672,Tarantella (1995)
664,673,Space Jam (1996)
665,674,Barbarella (1968)
666,675,Hostile Intentions (1994)
667,676,They Bite (1996)
668,678,Some Folks Call It a Sling Blade (1993)
669,679,"Run of the Country, The (1995)"
670,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
671,681,Clean Slate (Coup de Torchon) (1981)
672,682,Tigrero: A Film That Was Never Made (1994)
673,683,"Eye of Vichy, The (L'Oeil de Vichy) (1993)"
674,684,Windows (1980)
675,685,It's My Party (1996)
676,687,Country Life (1994)
677,688,Operation Dumbo Drop (1995)
678,690,"Promise, The (Das Versprechen) (1995)"
679,691,Mrs. Winterbourne (1996)
680,692,Solo (1996)
681,693,Under the Domim Tree (Etz Hadomim Tafus) (1994)
682,694,"Substitute, The (1996)"
683,695,True Crime (1996)
684,696,Butterfly Kiss (1995)
685,697,Feeling Minnesota (1996)
686,698,Delta of Venus (1995)
687,699,To Cross the Rubicon (1991)
688,700,Angus (1995)
689,701,Daens (1992)
690,702,Faces (1968)
691,703,Boys (1996)
692,704,"Quest, The (1996)"
693,705,Cosi (1996)
694,706,Sunset Park (1996)
695,707,Mulholland Falls (1996)
696,708,"Truth About Cats & Dogs, The (1996)"
697,709,Oliver & Company (1988)
698,710,Celtic Pride (1996)
699,711,Flipper (1996)
700,712,Captives (1994)
701,713,Of Love and Shadows (1994)
702,714,Dead Man (1995)
703,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
704,716,Switchblade Sisters (1975)
705,717,Mouth to Mouth (Boca a boca) (1995)
706,718,"Visitors, The (Les Visiteurs) (1993)"
707,719,Multiplicity (1996)
708,720,Wallace & Gromit: The Best of Aardman Animation (1996)
709,721,Halfmoon (Paul Bowles - Halbmond) (1995)
710,722,"Haunted World of Edward D. Wood Jr., The (1996)"
711,723,Two Friends (1986)
712,724,"Craft, The (1996)"
713,725,"Great White Hype, The (1996)"
714,726,Last Dance (1996)
715,727,War Stories (1995)
716,728,Cold Comfort Farm (1995)
717,729,"Institute Benjamenta, or This Dream People Call Human Life (1995)"
718,730,Low Life (1994)
719,731,Heaven's Prisoners (1996)
720,732,Original Gangstas (1996)
721,733,"Rock, The (1996)"
722,734,Getting Away With Murder (1996)
723,735,Cemetery Man (Dellamorte Dellamore) (1994)
724,736,Twister (1996)
725,737,Barb Wire (1996)
726,738,"Garçu, Le (1995)"
727,739,Honey Moon (Honigmond) (1996)
728,741,Ghost in the Shell (Kôkaku kidôtai) (1995)
729,742,Thinner (1996)
730,743,Spy Hard (1996)
731,744,Brothers in Trouble (1995)
732,745,Wallace & Gromit: A Close Shave (1995)
733,746,Force of Evil (1948)
734,747,"Stupids, The (1996)"
735,748,"Arrival, The (1996)"
736,749,"Man from Down Under, The (1943)"
737,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
738,751,Careful (1992)
739,752,Vermont Is For Lovers (1992)
740,753,"Month by the Lake, A (1995)"
741,754,Gold Diggers: The Secret of Bear Mountain (1995)
742,755,Kim (1950)
743,756,Carmen Miranda: Bananas Is My Business (1994)
744,757,Ashes of Time (Dung che sai duk) (1994)
745,758,"Jar, The (Khomreh) (1992)"
746,759,Maya Lin: A Strong Clear Vision (1994)
747,760,Stalingrad (1993)
748,761,"Phantom, The (1996)"
749,762,Striptease (1996)
750,763,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)"
751,764,Heavy (1995)
752,765,Jack (1996)
753,766,I Shot Andy Warhol (1996)
754,767,"Grass Harp, The (1995)"
755,768,Someone Else's America (1995)
756,769,Marlene Dietrich: Shadow and Light (1996)
757,770,Costa Brava (1946)
758,771,Life Is Rosy (a.k.a. Life Is Beautiful) (La Vie est belle) (1987)
759,772,Quartier Mozart (1992)
760,773,Touki Bouki (1973)
761,774,Wend Kuuni (a.k.a. God's Gift) (1982)
